name,state,type,in_state_total,out_of_state_total,early_career_pay,enrollment,enrollment_bin
University of Wisconsin-La Crosse,Wisconsin,Public,15437,24255,49600,9434.0,Medium
University of Wisconsin-Madison,Wisconsin,Public,21669,47919,57300,30791.0,Large
University of Wisconsin-Milwaukee,Wisconsin,Public,21812,33092,50600,18485.0,Large
University of Wisconsin-Oshkosh,Wisconsin,Public,16268,23841,47700,8953.0,Medium
University of Wisconsin-Parkside,Wisconsin,Public,15555,23544,46000,3356.0,Small
University of Wisconsin-Platteville,Wisconsin,Public,15151,23001,56800,6689.0,Medium
University of Wisconsin-River Falls,Wisconsin,Public,14375,21948,47100,5211.0,Medium
University of Wisconsin-Stout,Wisconsin,Public,16381,24347,50400,6244.0,Medium
University of Wisconsin-Whitewater,Wisconsin,Public,14478,23051,48900,10010.0,Medium
University of Wyoming,Wyoming,Public,15720,27810,52400,8676.0,Medium
Upper Iowa University,Iowa,Private,38904,38904,44200,1827.0,Small
Ursinus College,Pennsylvania,Private,64800,64800,54400,1473.0,Small
Utah State University,Utah,Public,13824,27905,52400,18787.0,Large
Utah Valley University,Utah,Public,5726,16296,51100,19832.0,Large
Valdosta State University,Georgia,Public,15586,29068,43400,7323.0,Medium
Valley City State University,North Dakota,Public,14072,23612,39900,980.0,Small
Valparaiso University,Indiana,Private,52120,52120,53300,2990.0,Small
Vanderbilt University,Tennessee,Private,66050,66050,65400,6894.0,Medium
Villanova University,Pennsylvania,Private,67328,67328,65100,6893.0,Medium
Virginia Commonwealth University,Virginia,Public,24918,45566,49900,20525.0,Large
Virginia Military Institute,Virginia,Public,28290,55134,65900,1740.0,Small
Virginia Polytechnic Institute and State University,Virginia,Public,22554,40238,62700,29197.0,Large
Virginia State University,Virginia,Public,20264,30784,44900,3659.0,Small
Viterbo University,Wisconsin,Private,37030,37030,46800,1535.0,Small
Wabash College,Indiana,Private,53500,53500,62200,871.0,Small
Wake Forest University,North Carolina,Private,69354,69354,60700,5291.0,Medium
Walla Walla University,Washington,Private,32310,32310,53700,1412.0,Small
Wartburg College,Iowa,Private,51276,51276,49300,1490.0,Small
Washburn University,Kansas,Public,17107,28177,47000,3803.0,Small
Washington Adventist University,Maryland,Private,33270,33270,55600,791.0,Small
Washington and Lee University,Virginia,Private,66380,66380,65900,1850.0,Small
Washington College,Maryland,Private,59392,59392,52800,1290.0,Small
Washington State University,Washington,Public,22979,37763,55900,24251.0,Large
Washington University in St Louis,Missouri,Private,69839,69839,64800,7228.0,Medium
Wayne State College,Nebraska,Public,14657,19967,40600,2741.0,Small
Wayne State University,Michigan,Public,23774,38668,50800,13734.0,Medium
Webb Institute,New York,Private,65225,65225,80800,103.0,Small
Weber State University,Utah,Public,12110,22864,53900,13224.0,Medium
Webster University,Missouri,Private,38950,38950,46500,2266.0,Small
Wellesley College,Massachusetts,Private,70200,70200,58900,2455.0,Small
Wentworth Institute of Technology,Massachusetts,Private,48140,48140,62700,4606.0,Small
Wesley College,Delaware,Private,38123,38123,45400,1004.0,Small
Wesleyan University,Connecticut,Private,69974,69974,61600,3166.0,Small
West Liberty University,West Virginia,Public,17136,25076,42500,1871.0,Small
West Virginia State University,West Virginia,Public,20059,27964,41800,2025.0,Small
West Virginia University,West Virginia,Public,19774,35868,54400,20504.0,Large
West Virginia University at Parkersburg,West Virginia,Public,6330,10920,36700,1186.0,Small
West Virginia University Institute of Technology,West Virginia,Public,18854,30038,57100,1244.0,Small
West Virginia Wesleyan College,West Virginia,Private,40496,40496,47000,1130.0,Small
Western Carolina University,North Carolina,Public,13902,17902,44700,9341.0,Medium
Western Connecticut State University,Connecticut,Public,23891,35131,51700,4322.0,Small
Western Governors University,Utah,Private,6670,6670,54500,134428.0,Large
Western Kentucky University,Kentucky,Public,18945,34839,45500,12409.0,Medium
Western Michigan University,Michigan,Public,22626,25516,50900,15006.0,Large
Western New England University,Massachusetts,Private,50394,50394,56400,2648.0,Small
Western New Mexico University,New Mexico,Public,15960,24367,41700,1296.0,Small
Western Oregon University,Oregon,Public,19955,36830,44500,3839.0,Small
Western Washington University,Washington,Public,19598,35010,55000,14657.0,Medium
Wheaton College (Massachusetts),Massachusetts,Private,66050,66050,52600,1795.0,Small
Whitman College,Washington,Private,64938,64938,54600,1601.0,Small
Whitworth University,Washington,Private,55136,55136,49900,2396.0,Small
Wichita State University,Kansas,Public,19523,28704,48700,9788.0,Medium
Widener University,Pennsylvania,Private,60394,60394,55700,2794.0,Small
Willamette University,Oregon,Private,62514,62514,52200,2100.0,Small
William Carey University,Mississippi,Private,19410,19410,41100,2291.0,Small
William Jewell College,Missouri,Private,44330,44330,51400,763.0,Small
William Paterson University of New Jersey,New Jersey,Public,24505,32705,50500,6108.0,Medium
William Penn University,Iowa,Private,32552,32552,43900,1166.0,Small
Williams College,Massachusetts,Private,69950,69950,67500,2193.0,Small
Wilmington University,Delaware,Private,11210,11210,45100,3195.0,Small
Winona State University,Minnesota,Public,18435,24358,49700,6310.0,Medium
Winthrop University,South Carolina,Public,24902,39158,44300,4461.0,Small
Wisconsin Lutheran College,Wisconsin,Private,39915,39915,46200,936.0,Small
Wittenberg University,Ohio,Private,49856,49856,52400,1535.0,Small
Wofford College,South Carolina,Private,56530,56530,51300,1739.0,Small
Worcester Polytechnic Institute,Massachusetts,Private,65304,65304,73600,4767.0,Small
Xavier University,Ohio,Private,51310,51310,51800,5079.0,Medium
Xavier University of Louisiana,Louisiana,Private,33535,33535,46700,2470.0,Small
Yale University,Connecticut,Private,69430,69430,70300,7195.0,Medium
Yeshiva University,New York,Private,55750,55750,63500,2797.0,Small
